Comment,Sentiment,text_length,clean_text
Achieving million views in days is dangerous,Positive,44,achieving million views days dangerous
How many people here want to participate in such challenges?,Neutral,60,many people want participate challenges
Mrbeast is slowly turning into mrjigsaw,Negative,39,mrbeast slowly turning mrjigsaw
genuinely can't believe how dystopian this is,Negative,45,genuinely cant believe dystopian
"Have of the worlds smartest people compete in a series of intellectual puzzles & games ranging from History, science, mathematics ect. winner take all",Neutral,150,worlds smartest people compete series intellectual puzzles games ranging history science mathematics ect winner take
days alone with AI,Neutral,18,days alone ai
"What a strong man, he deserved it",Positive,33,strong man deserved
He deserved it. Very strong man.,Positive,32,deserved strong man
Damn these challenges are crazy,Positive,31,damn challenges crazy
Aloo gang attendance,Neutral,20,aloo gang attendance
million views in hours is crazy,Positive,31,million views hours crazy
Nolans Nuke and Karls TNT at LOL,Positive,32,nolans nuke karls tnt lol
Living underwater in a submarine for days,Neutral,41,living underwater submarine days
It is crazy how far this man has come. Unbleavble goodjob,Positive,57,crazy far man come unbleavble goodjob
NICE WORK BRO,Positive,13,nice work bro
Over million views in hour is crazy.,Positive,36,million views hour crazy
I think the next challenge should be days in a haunted house for k Dollars,Neutral,74,think next challenge days haunted house k dollars
The last part was supposed to be the hardest and he jogged through it. Lol,Positive,74,last part supposed hardest jogged lol
The risk YouTubers take for content is insane,Neutral,45,risk youtubers take content insane
Mrbeast Aloo khaoge,Neutral,19,mrbeast aloo khaoge
"I am glad you take safety seriously, probably the most important thing.",Positive,71,glad take safety seriously probably important thing
Under hour gang,Neutral,15,hour gang
Man your videos just get crazier and crazier! Also mil views in hours is INSANE!,Positive,80,man videos get crazier crazier also mil views hours insane
I'm glad u take safety seriously probably the most important thing,Positive,66,im glad u take safety seriously probably important thing
Over million view in hours is insaneee,Positive,38,million view hours insane
The next challenge is '$ wedding vs M $',Neutral,40,next challenge wedding vs
you should do a group of soldiers for days but they have to do the hardest military challenges ever for K money,Neutral,111,group soldiers days hardest military challenges ever k money
hours in space next challenge,Neutral,29,hours space next challenge
under hour gang!!,Neutral,17,hour gang
Who want participate in such challenge ?,Neutral,40,want participate challenge
"Do a challenge where the last person to leave a giant maze wins $,,",Neutral,67,challenge last person leave giant maze wins
"I don't care if Chandler was back long time before I wrote this, I'm just happy he's finally here in videos!",Positive,108,dont care chandler back long time wrote im happy hes finally videos
Bro just burned money but he's still chill,Positive,42,bro burned money hes still chill
NEXT CHALLENGE - tree planting,Neutral,30,next challenge tree planting
nah bro he’s rapping now I think,Neutral,32,nah bro hes rapping think
yo what,Neutral,7,yo
he can def still see,Neutral,20,def still see
At is that a Fortnite animation,Neutral,31,fortnite animation
The person who was filming was stuck inside the fireworks at the time,Neutral,69,person filming stuck inside fireworks time
this is unreal,Positive,14,unreal
"""days in alone with Al""️",Neutral,24,days alone al
Nolans nukes,Neutral,12,nolans nukes
Absolute Cinema,Positive,15,absolute cinema
Video Editing Is Amazing Awesome,Positive,32,video editing amazing awesome
That’s some wild challenges!,Positive,28,thats wild challenges
this challenge is crazy,Positive,23,challenge crazy
tb when Mac lost,Neutral,16,tb mac lost
I love mrbeast,Positive,14,love mrbeast
That amazing,Positive,12,amazing
FR,Neutral,2,fr
Great content,Positive,13,great content
Aaloo gang here,Neutral,15,aaloo gang
Bro do the challenge of spending days as a astronaut pllsss,Neutral,59,bro challenge spending days astronaut plls
Thank you so much .k,Neutral,20,thank much k
These vids getting crazier and crazier each time,Positive,48,vids getting crazier crazier time
Survive challenge pls,Neutral,21,survive challenge pls
"Hey beast ,new subscriber from",Positive,30,hey beast new subscriber
This is probably the most anxiety inducing vid ever,Neutral,51,probably anxiety inducing vid ever
The content is amazing I learned a lot from it.,Positive,47,content amazing learned lot
Under hour,Neutral,10,hour
Bro the firework shot was crazy cool,Positive,36,bro firework shot crazy cool
Love you,Positive,8,love
And Mrbeast is back,Positive,19,mrbeast back
"Wow, this is insane. I LOVE YOUR VIDEOS",Positive,39,wow insane love videos
Under hours,Neutral,11,hours
yea,Neutral,3,yea
Next challenge: Climb mount everest.,Neutral,36,next challenge climb mount everest
money just burning,Neutral,18,money burning
UNDER HOURS GANG,Neutral,16,hours gang
All the stunts here were super easy,Negative,35,stunts super easy
Love you bro,Positive,12,love bro
Alooo(potato) farming challenge you should do,Neutral,45,alopotato farming challenge
YOU SUPERMEN MRJIMMI,Positive,20,supermen mrjimmi
Who wants to be part of Mrbeast video,Neutral,37,wants part mrbeast video
holy refresh pull,Neutral,17,holy refresh pull
I love these videos,Positive,19,love videos
A bunch of space based challenges based on astronaut training and a trip to space as a prize would be awesome,Neutral,109,bunch space based challenges based astronaut training trip space prize would awesome
Guys here who want Space video,Neutral,30,guys want space video
Right,Neutral,5,right
Would you do it for Nolan’s mom?,Neutral,32,would nolans mom
MICHAEL DON'T LEAVE ME HERE AHH,Neutral,31,michael dont leave ahh
